#EquipMtrlSetParam=EQUIP_MTRL_SET_PARAM_ST
ID,Name,MaterialId01,MaterialId02,MaterialId03,MaterialId04,MaterialId05,ItemNum01,ItemNum02,ItemNum03,ItemNum04,ItemNum05,isDisableDispNum01,isDisableDispNum02,isDisableDispNum03,isDisableDispNum04,isDisableDispNum05,pad1
0,Basic -- 基本,1250,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1,Basic + 1 -- 基本＋１,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
2,Basic + 2 -- 基本＋２,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
3,Basic + 3 -- 基本＋３,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
4,Basic + 4 -- 基本＋４,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
5,Basic + 5 -- 基本＋５,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
6,Titanite - Stock +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
7,Titanite - Stock +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
8,Titanite - Stock +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
9,Titanite - Stock +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
10,Titanite - Stock +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100,Titanite - Lethal +0,1110,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
101,Titanite - Lethal +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
102,Titanite - Lethal +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
103,Titanite - Lethal +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
104,Titanite - Lethal +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
105,Titanite - Lethal +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
106,Titanite - Lethal +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
107,Titanite - Lethal +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
108,Titanite - Lethal +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
109,Titanite - Lethal +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
110,Titanite - Lethal +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
200,Titanite - Curse +0,1100,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
201,Titanite - Curse +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
202,Titanite - Curse +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
203,Titanite - Curse +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
204,Titanite - Curse +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
205,Titanite - Curse +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
206,Titanite - Curse +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
207,Titanite - Curse +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
208,Titanite - Curse +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
209,Titanite - Curse +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
210,Titanite - Curse +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
300,Titanite - Poison +0,1120,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
301,Titanite - Poison +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
302,Titanite - Poison +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
303,Titanite - Poison +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
304,Titanite - Poison +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
305,Titanite - Poison +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
306,Titanite - Poison +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
307,Titanite - Poison +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
308,Titanite - Poison +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
309,Titanite - Poison +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
310,Titanite - Poison +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
400,Titanite - Blood +0,1130,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
401,Titanite - Blood +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
402,Titanite - Blood +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
403,Titanite - Blood +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
404,Titanite - Blood +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
405,Titanite - Blood +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
406,Titanite - Blood +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
407,Titanite - Blood +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
408,Titanite - Blood +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
409,Titanite - Blood +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
410,Titanite - Blood +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
500,Titanite - Frost +0,1140,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
501,Titanite - Frost +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
502,Titanite - Frost +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
503,Titanite - Frost +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
504,Titanite - Frost +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
505,Titanite - Frost +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
506,Titanite - Frost +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
507,Titanite - Frost +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
508,Titanite - Frost +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
509,Titanite - Frost +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
510,Titanite - Frost +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
600,Titanite - Magic +0,1150,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
601,Titanite - Magic +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
602,Titanite - Magic +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
603,Titanite - Magic +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
604,Titanite - Magic +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
605,Titanite - Magic +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
606,Titanite - Magic +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
607,Titanite - Magic +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
608,Titanite - Magic +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
609,Titanite - Magic +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
610,Titanite - Magic +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
700,Titanite - Fire +0,1160,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
701,Titanite - Fire +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
702,Titanite - Fire +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
703,Titanite - Fire +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
704,Titanite - Fire +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
705,Titanite - Fire +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
706,Titanite - Fire +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
707,Titanite - Fire +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
708,Titanite - Fire +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
709,Titanite - Fire +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
710,Titanite - Fire +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
800,Titanite - Lightning +0,1170,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
801,Titanite - Lightning +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
802,Titanite - Lightning +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
803,Titanite - Lightning +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
804,Titanite - Lightning +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
805,Titanite - Lightning +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
806,Titanite - Lightning +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
807,Titanite - Lightning +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
808,Titanite - Lightning +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
809,Titanite - Lightning +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
810,Titanite - Lightning +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
900,Titanite - Dark +0,1180,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
901,Titanite - Dark +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
902,Titanite - Dark +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
903,Titanite - Dark +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
904,Titanite - Dark +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
905,Titanite - Dark +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
906,Titanite - Dark +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
907,Titanite - Dark +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
908,Titanite - Dark +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
909,Titanite - Dark +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
910,Titanite - Dark +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1000,Titanite - Lucky +0,1190,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1001,Titanite - Lucky +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1002,Titanite - Lucky +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1003,Titanite - Lucky +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1004,Titanite - Lucky +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1005,Titanite - Lucky +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1006,Titanite - Lucky +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1007,Titanite - Lucky +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1008,Titanite - Lucky +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1009,Titanite - Lucky +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1010,Titanite - Lucky +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1100,Titanite - Enchanted +0,1200,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1101,Titanite - Enchanted +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1102,Titanite - Enchanted +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1103,Titanite - Enchanted +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1104,Titanite - Enchanted +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1105,Titanite - Enchanted +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1106,Titanite - Enchanted +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1107,Titanite - Enchanted +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
