2100,[Boss] Cinders of a Lord,2123,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002100,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
0,DEBUG,100000,10000,240,101000,11000,0,0,0,0,268435456,1073741824,0,268435456,0,0,0,100,50,100,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,9,1,2,99,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
1,DEBUG,240,240,2001,240,240,0,0,0,1073741824,1073741824,1073741824,1073741824,1073741824,0,0,0,100,100,300,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2,DEBUG,0,1010,1010,1013,1013,1023,1001,1001,4294967295,1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,375,20,30,20,30,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,2,0,2,1,2,1,1,3,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,System.Byte[]
10,DEBUG,400,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2000,[Boss] Soul of Boreal Valley Vordt,719,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002000,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2010,[Boss] Soul of the Dancer,714,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002010,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2020,[Boss] Soul of Consumed Oceiros,718,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002020,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2030,[Boss] Soul of Dragonslayer Armour,721,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002030,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2040,[Boss] Cinders of a Lord,2126,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002040,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
